,company,raw
1271,"GNH Lumber, Inc.",The companyâ€™s mission is to provide â€œexceptional serviceâ€ and quality products to its customers at a fair price.
1272,Good Hair Day Salon,"Opened with the premise of exceptional service for a fair price, Good Hair Day Salonâ€˜s mission is to provide clients with outstanding salon services while making them feel among friends. Itâ€™s this mantra that has earned GHDS prestige among patrons and keeps them coming back."
1273,"Gordmans Stores, Inc.",We are proud of Gordmansâ€™ heritage and its mission of delighting guests with the latest trends in name brand merchandise and home dÃ©cor at incredible values of up to 60% off department store prices.
1274,Gourmet Events Hawaii,"At Gourmet Events Hawaii, our mission is to create memorable and successful events that exceed our clientâ€™s expectations, nurture relationships and delight the senses â€“ one client, one event, one experience at a time. Incorporating each clientâ€™s unique vision, we create sumptuous occasions memorable well beyond the last morsel of dessert or sip of fine wine."
1275,Guardian National Security,"Guardian National Security is committed to providing reliable quality protection services to a variety of industries through custom-designed security strategies, expertly trained security officers, and excellent customer service. Guardian National Security aims to set the bar for private security services in Southern California by using innovative practices, having the highest of expectations for our personnel, and supporting our guards with hands-on management and exceptional training. Our company is led by experts in the field of security who are committed to helping private enterprises and homeowners alike in securing their property and assets.,In order to meet the needs of our diverse clients, we custom design a security plan for each location and encourage open communication between our clients and management team. Our security team consists of trustworthy, responsible guards who are all licensed by the California Bureau of Security and Investigative Services (BSIS). In order to be hired, every one of them had to pass a very selective hiring process that includes a series of interviews with our management team, a thorough background check, personal reference checks, and drug testing. In addition to administering a very selective hiring process, we have them complete a rigorous training course that is designed to ensure that they are fully prepared to handle any security assignment."
1276,Guardian Protection Force Inc.,"Guardian Protection Force Inc., is a professional private security company. We strive to offer security solutions and to always go above and beyond the call of duty. Through an extensive recruitment and hiring process we only employ the best of the best security personnel. GPF offers a comprehensive training program to all staff to ensure quality security professionals."
1277,guardNOW,"guardNOW provides on-demand security guard services, for all times of events, focusing on giving its customers the ease of mind knowing that all their security needs are being met. From a wedding 6 months out, a birthday party this weekend or a guard to monitor a house tonight guardNOW does it all, so that our customers can rest assured knowing that a quality consistent security guard company will be there protecting their investment and loved ones."
1278,Habitat ReStore,Our mission to of providing quality housing at affordable prices.
1279,Hallmark,"Makes the world a more caring place by helping people laugh, love, heal, say thanks, reach out and make meaningful connections with others."
1280,Hareâ€™s Hair,"To be innovative and motivated in the pursuit of excellence and embrace the challenges of change in the Hair Industry.,To strive for perfection in Hareâ€™s Hair training programs, in order that our hair stylists can contribute to the hair industry for the benefit of clientele.,To support with enthusiasm external training programs and competitions with creativity and passion.,To use and supply to our clientele only the highest quality hairdressing products.,To maintain a nurturing environment within the salon for our staff and clientele.,Client satisfaction and care without duress, is of upmost importance to the salon."
1281,"Harley-Davidson, Inc","We fulfill dreams through the experience of motorcycling, by providing to motorcyclists and to the general public an expanding line of motorcycles and branded products and services in selected market segments."
1282,Headcase Hair,"It is the professional relationship we have with each and every one of our clients, enabling them to be completely confident they will get the best hair advice every visit, as well as being totally thrilled with the experience, and most importantly, the result!"
1283,Heart & Arrow Events,"Our mission is to design and carry out personalized, innovative events that meet our clients needs and desires."
1284,Heaven Events,"Working together as part of the clientâ€™s marketing or planning team Heaven Events strives to provide clients with an affordable, yet highly professional service to create extraordinary, one of a kind signature experiences that leave our clients and their guests with unique memories of excellence."
1285,Hippo Hardware & Trading Company,Our Mission is to recycle the past to make a more livable future.
1286,Holtz Spa,"Holtz Spa believes that the elimination of stress and tension is critical to the improvement and maintenance of overall well being. Holtz works to improve quality of life through physical and mental rejuvenation. Self esteem and a balance of health and wellness is achieved in the Oasis of calm at Holtz Spa. Treatments, designed to satisfy the whole body, are provided by highly trained staff in the field of massage therapy, esthetics and skincare as well as a full range of body therapies and hair design. Our on-going goal is to exceed the expectations of our individual, group, and corporate clientele with hands-on professional service."
1287,Home Depot Inc.,"Our goal is to provide the highest level of service, the broadest selection of products and the most competitive prices. We are a values-driven company and our eight core values include the following:,Excellent customer service,Taking care of our people,Giving back,Doing the â€œrightâ€ thing,Creating shareholder value,Respect for all people,Entrepreneurial spirit,Building strong relationships."
1288,Houston Bridal Shop,"We firmly believe in our mission statement â€œtransforming dreams into realityâ€œ, and strive to do just that."
1289,Hyatt Regency Lost Pines,Our mission is to make your meeting a success. And we prove it every day with thoughtful service and comfortable accommodations.
1290,"Iaonstyles, Inc.","Iaonstyles, Inc., is dedicated to providing a pleasurable experience. We offer a variety of natural hair care services at an affordable cost. Our primary mission is to provide the highest level of customer service to each client, thereby establishing a long lasting relationship of trust and commitment. Our expertise and professionalism allows us to provide clients with the utmost beauty experience!"
1291,IKON Office Solutions,Helping our customers manage document workflow and increase efficiency through best-in-class products and services. Fostering the growth and development of our employees. Providing a distinct advantage to our suppliers as a distribution channel of choice. Growing shareholder value through strong execution of our strategies.
1292,il Destino Salon and Spa,"Our Mission is to be the preferred Salon and Spa â€œdestinationâ€ in the Tri-Cities area. il Destino Salon and Spa provides the ultimate experience in beauty and well being through excellence in guest services. il Destino Salon and Spa stands for the creation and preservation of an open and gracious atmosphere that extends to our guests an ongoing invitation to return. il Destino Salon and Spa is committed to the creation of new industry standards by being leaders in design and innovation. il Destino Salon and Spa provides a positive work environment that encourages mutual goal setting, staff development and team work. il Destino Salon and Spa embraces the spirit of the City of the Arts."
1293,Image Salon & Day Spa,"Image Salon & Day Spa is committed to providing services to every client using only advanced and innovative techniques to achieve classic and contemporary styles found nowhere else, dedicated to the highest level of quality and professionalism, all in a warm and relaxing atmosphere created only here at Image Salon & Day Spa."
1294,In Motion Fitness,"We will exceed our membersâ€™ expectations by anticipating their needs. We will achieve a level of professionalism in a friendly, family atmosphere. We will continuously provide innovative programs and services. We will be dedicated to cleanliness, safety, and providing an environment conducive to our membersâ€™ health and well being. We will treat each member/client with care and concern. We will remember that our client is our best salesperson. We will promote â€œFitness is Lifestyle.â€ We will educate ourselves, our co-workers, and our members/clients. We will maintain our certifications by earning continuing education credits keeping us and our training up-to-date and on the cutting edge of the industry. We will maintain a high level of professionalism encompassing integrity, ethics, and pride. We will operate as a team, with mutual respect and support. We will deliver what we promise. We will always be respectful to our members, our team mates and ourselves. We are Ladies and Gentlemen serving Ladies and Gentlemen."
1295,Jabil Circuit,"Our goal is to achieve customer satisfaction through excellence in design, supply chain management, manufacturing and repair solutions. Through our culture, our drive and the expertise of each individual employee, we are uniquely positioned to provide best-in-class services to a global customer base."
1296,Jasmine Enterprises,"To provide brides with the ultimate in fashion, fit and service."
1297,Jasperâ€™s Coffee,Our mission is to be in a class above our competitors by providing personalized service and excellent performance with dignity for ourselves and our customers.
1298,Jennie Jâ€™s Events,"Our mission is to ensure that the food and drink are all ready to go for your party, wine tasting, corporate event or whatever else you might have going."
1299,Jeri Bonner Events Group,"Our mission is built on passion, drive, and enthusiasm for every event we create or help create. We work hard, laugh often, and invest all energy into the creation of unforgettable events. Events that are manufactured on contrived, but completely unique to the personality, style, and the taste of our clients."
1300,Jordi Studio,"Our mission is to please you in every way possible with our photography as well as our video, to capture every emotion and detail to make your moments unforgettable."
1301,Kaleidoscope,"Your vision is our mission. Dream big. We make it happen. We will work with your vision and your budget and provide you with the best of our creativity, professional expertise, outstanding organizational abilities, and deep knowledge of resources and contacts. Understated or over-the-top, formal and extravagant or fun and laid-back-you decide, and we will bring your vision to life."
1302,Kidstop Developmental Child Care Center,"The purpose of Kidstop is to provide quality child day care benefiting the child, the parent, the staff and the community."
1303,Kimberly-Clark,Providing people with essentials for a better life by adding convenience to daily routines with some of the worldâ€™s most recognized products.
1304,Kohlâ€™s Corp.,Committed to Kidsâ€™ Health & Education Advancing Environmental Solutions Supporting Womenâ€™s Health Associates in Action
1305,KRE Security Investigations Inc.,"To provide qualified, educated and professional law enforcement, security services protection, and investigation services that meet the needs of our clients as â€œYour Total Security Professionalâ€. In order to reduce asset loss to the client, KRE officers will respond to any request within a moments notice to provide immediate protection, security patrol, and investigation needs. Our obligation is to promote safety and security for you 24/7 while maintaining the price pledge to our customers which is to provide reasonable and affordable security guard, private investigation, in-home alarm systems, and First Aid services throughtout Pennsylvania."
1306,L Salon & Color Group,"At L Salon & Color Group the entire staff is dedicated to all aspects of beauty and style, form the latest trends in hair styles to the most effective skin treatments and products, we are here to give our clients the ultimate experience in pampering from head to toe. Our mission is not only to create a beautiful appearance but to nurture the spirit and relax the body and mind. Our goal is a lift and to challenge current industry standards. To accomplish our mission we offer a wide range of services and gift packages in which our clients have a chance to explore wonderful new dimensions. We are keenly aware that the client is our employer, that excellennce is more than professionalism, and that each employee plays a critical role in a team approach to being and staying the best. The staff training and our focus on customer service are key to L Salon & Color Group success and service philosophy."
1307,La Viva Bridals,Our mission is to help create stunning brides through glamorous wedding outfits while making bridal shopping stress free.
1308,Laidlaw International,"Exceed our customersâ€™ expectations by being the leading provider of safe, responsive, value-added services in the student transportation industry."
1309,LaTorre Hardware,"Our mission is to offer quality products at fair prices with unmatched customer service. We stock all major brands of power tools, builders hardware, plumbing, and electrical items."
1310,Lifetime Fitness,"Our mission is to provide an Entertaining, Educational, Friendly and Inviting, Functional and Innovative experience of uncompromising quality that meets the health and fitness needs of the entire family."
1311,Limited Brands Inc.,To build a family of the worldâ€™s best fashion retail brands offering captivating customer experiences that drive long-term loyalty.
1312,Limitless Fitness Studio,"At Limitless Fitness Studios our goal is to offer a variety of group classes that will challenge you both physically and mentally. Our dream is to inspire you to take your fitness goals to a level you never thought possible, to be proud of who you were when you started your fitness journey and to realize that there are no limits to your potential. Our motto is live without limits. Our success will be achieved when our motto becomes yours."
1313,Louie & Belle Events and Marketing,To provide innovative and professional marketing and event management services with a focus on quality and detail. We aim to represent the best interests of the client by providing sound advisement while keeping a focus on creative and innovative ways to accomplish each goal set forth.
1314,Loweâ€™s Cos.,Our mission of exceptional service and consistent performance.
1315,Lower Photography. Studio. Design,Our Business isâ€¦Making YOU Look Good!
1316,Loweâ€™s,To help customers improve and maintain their biggest asset â€“ their home.
1317,Lucindaâ€™s Hair & Beauty,"Our mission at Lucindaâ€™s Hair & Beauty is to provide a friendly, personalised service through a team of highly skilled and creative professionals."
1318,Lululemon Athletica Inc.,"Creating components for people to live longer, healthier, fun lives."
1319,Luxottica Group S.p.A.,To improve the well-being and satisfaction of its customers while simultaneously creating value for its employees and the communities in which the Group operates.
1320,Macyâ€™s bakery,"Macyâ€™s bakery has been proudly serving Flagstaff the finest quality homemade baked goods since 1980. Locally owned and operated, we serve everything from classic pastries to delicious gluten free & vegan goodies. All of our desserts & breads are made from scratch the old fashioned way, without the use of any preservatives, dough conditioners or stabilizers. At Macyâ€™s everything we bake is hand crafted with the most important ingredient of all, LOVE. Come see what this Flagstaff Bakery has to offer, or think of us for your next birthday, office party, graduation, baby shower or just for the heck of it! Did we mention that Macyâ€™s does wedding cakes"
1321,Magnum Events,"Our mission is to be Irelandâ€™s leading Event Management company delivering seamless events for our clients built on relationships of trust. We seek to enhance the value and image of our clients through innovation, technology and by actively listening to our clients requests and delivering beyond expectation. This, more than anything, keeps us focused and meticulous at all times."
1322,Maidenform Brands Inc.,"Maidenform is proud of our heritage and passionate about our future. Dedicated to our brands, employees, customers, suppliers, shareholders, and community, we remain steadfast in our single focus to provide innovative intimate apparel solutions that empower and shape all women from the inside and out."
1323,Marc Hildebrand Fitness,"For current and future law enforcement, fire and military officers that realize their life depends on their health and fitness. Marc Hildebrand Fitness promises to do what it takes to get you home to your family every night by offering expert advice, education, and support from a fellow police officer, certified personal trainer and friend. Me. Backed by the National Academy of Sports Medicine and the best home fitness programs on the planet. I understand how difficult our lives are with long hours and lack of good food choices and I will make your health my priority."
1324,Marissa Michaels Hair Salon,"A successful salon experience to ensure style and fashion through awareness and self examination with communication (ask, then listen) communication with knowledge with passion, passion with integrity and ethics. Integrity and ethics with fun and reinvention transcending into a spirit of positive atmosphere that inspires trust and creativity on anyone we touch and gives us a stable and rewarding career working together as a supportive team."
1325,Maxm Studio Photography,"God made the world beautiful and full of wonders, and it is our job and calling to recognize and capture that beauty in such a way that the viewing audience would also be captivated and drawn to the image. Our photographs bring positive emotions, and allow the viewer to relish in past events, as well as imagine new ones. Our aim is to become an example of doing business with the highest level of integrity"
1326,Mehr Design Studio,We aspire to make you look your best and provide you with a memorable shopping experience. Our designers listen to your needs and desires and from that we create a look that enhances the best part of you. Mehrâ€™s clothes are designed and created with a unique attention to detail. Our outstanding reputation is earned one client at a time. Ask any of our over 250 brides and many more clients.
1327,Menâ€™s Wearhouse Inc.,"The Menâ€™s Wearhouse mission has been to maximize sales, provide value to our customers, and deliver top-quality customer service while still having fun and maintaining our values."
1328,Metroguard Inc.,"We are not a mass employer of security guards but instead recruit, select, and train only those individuals whose orientation and motivation are in congruence with our Mission Statement. Our highly trained force consists primarily of former Military Police Officers, former local Police Officers, as well as other law enforcement personnel with years of experience and dedication."
1329,Miami Fitness Connection,"Miami Fitness Connection is committed to strengthening the community through the education of the whole person. It is our goal to provide experiences that will enhance each individual on a physical, mental, social, emotional and spiritual level, as well as provide the individual with the knowledge to make healthy lifestyle choices for achieving their maximum potential in the community. We will strive to touch the lives of everyone we serve remembering the characteristics Miami Fitness Connection was founded on: faith, hope and love."
1330,Miami Holiday Photography,The mission statement behind our Miami holidays photography studio will always involve providing top-notch service and great photographs to everyone who comes through the door. We do this because you deserve it.
1331,Miaâ€™s Bridal & Tailoring,"To help you find the gown of your dreams, and to make the entire wedding experience a pleasant one."
1332,MLZ Design & Photography,"The company is dedicated to leveraging emerging technologies to provide the highest level of quality products and services, customer service, and security."
1333,Mommy & Me Fitness,"The mission of Mommy and Me Fitness is to grow Strong Moms by offering fitness for the body, refreshment for the mind and encouragement for the soul. By sharing the knowledge of Christ and how He fits into our physical lives, it is our desire to equip moms and children with a close, personal relationship with God so they can rely on Him for not only the foundation of their faith, but also their fitness. This will enable ALL women to build strong, healthy families as God designed it to be. Armed with His strength and guidance, MMF aims to reclaim fitness from the world!"
1334,Movado Group Inc.,"To be the leading company in the watch industry by â€“ Building strong brands with the most sought â€“ after images, and offering products with the best design, quality and value in their categories. Treating everyone with respect, and making integrity the core of our actions and relationships. Striving to have employees, vendors and retailers feel like they are part of the same team. Providing the best possible services to our retailers and consumers, and recognizing their importance to our continued success. Constantly striving for excellence. We believe our people are critical to the achievement of this goal, and their continuous development is essential. Increasing sales and profits from year to year, ensuring the security and growth of our company, and providing a reasonable return to our shareholders."
1335,Necessary Accessory Events,Necessary Accessory Events mission is to provide a personalized and unique event experience to each client no matter the size or nature of the event.
1336,New Mexico Tech Childrenâ€™s Center,"The Childrenâ€™s Center mission is to complement the service and education objectives of the university by:,Providing education, care, and nurturing for the children of students, staff, faculty, and community members,Utilizing culturally and developmentally appropriate practices,Serving as a role model of child care excellence for the community at large."
1337,Nordstrom Inc.,"We strive to responsibly make meaningful product that not only exemplifies our lifestyle, but enhances the ability to live it."
1338,Norfolk Southern,"Norfolk Southernâ€™s mission is to enhance the value of our stockholdersâ€™ investment over time by providing quality freight transportation services and undertaking any other related businesses in which our resources, particularly our people, give the company an advantage."
1339,Northwest Iowa,Northwest Iowa Bridal was created to market northwest Iowa as a midwestern wedding destination and to be an essential tool for planning of a wedding in this region.
1340,One Wed,"To providing practical help, to talking about the big hard questions with no easy answers. We provide the tools and support to make planning smarter and better â€“ things like proprietary matching technology which helps pair couples with the perfect vendor, smart checklists ensuring event planning runs smoothly, wedding websites to communicate with your friends and family, and a community of other couples, experts, and newlyweds."
1341,Organic Salon Systems,"To change salons for the better by eradicating harfull chemicals, toxins, and carcinogens in the salon environment without sacrificing the health, beauty, and well-being of clients, stylist, or salon professionals."
1342,Oxford Industries Inc.,Our mission is to deliver a quality product with exceptional price-value and superior service.
1343,Panache Bridal,Our mission is to help you find the gown of your dreams! It is our goal to make the entire wedding shopping experience a pleasant one.
1344,Perry Ellis International Inc.,"Our mission is to create an apparel company that can offer superior design, quality and value to the consumer. We will accomplish this by being committed to offering great service and real value to our business partners and consumers. We will provide a pleasant, fair and diverse environment, allowing our associates to grow in their careers and experience constant improvements in their lifestyle."
1345,Pettigrew Spa,Our Mission is to provide top quality service in a full service Day Spa for a reasonable cost to the people living in and around the Kawarthas.
1346,Photography Works,"Our aim is to produce images that stand out from the crowd, grab your customers attention and increase your sales."
1347,Physiq Fitness,"Simply put, the Physiq Fitness mission is to help you, â€œChange Your Life With Us.â€ After spending time in our facility and with our team we want our members to walk out of our doors after a workout and feel like they are better version of themselves. It isnâ€™t the scientific sum of calories, workouts and weight that keeps our members returning to the club. It is not the cutting edge equipment and technology. It is the people that count. Our team cares about guiding and encouraging each and every member to obtain the goals they seek for themselves. Our membersâ€™ goals are specific and if we can assist in that journey to realizing their aspirations then we have truly helped them change their life."
1348,Planet Beach Contempo Spa,"For the benefit of our customers and the communities we serve, we will remain dedicated to the continued success of planet beach. We provide superior customer service with an inspiring, alternative atmosphere. Planet Beach will deliver premier wellness, relaxation, tanning and skin rejuvenation services that enhance the contempo spa experience."
1349,Planet Fitness,"We at Planet Fitness are here to provide a unique environment in which anyone â€“ and we mean anyone â€“ can be comfortable. A diverse, Judgement Free ZoneÂ® where a lasting, active lifestyle can be built. Our product is a tool, a means to an end"
1350,"Platinum Protection Group, Inc.","Platinum Protection Group is committed to delivering cost effective, efficient and professional security services to our clients and partners. We will offer innovative and progressive security solutions. Our management team will consist of the industries leading experts in their field. We will endeavor to improve and sustain the professional growth of every employee through industry related training opportunities that continue to support the companyâ€™s strategic goals. Platinum Protection Group achieves its mission by maintaining a community of active and retired law enforcement executives and military officers devoted to the research, integration and dissemination of knowledge in the field of professional security services."
1351,Prestige Salon,"We will service our clients to the best of our ability-provide a relaxing, professional, clean and friendly atmosphere. Through continuous education we strive to fulfill our commitment to excellence in our industry."
1352,Proctor & Gamble,"Provide branded products and services of superior quality and value that improve the lives of the worldâ€™s consumers, now and for generations to come."
1353,Protection Strategies Incorporated,"To provide best in class security expertise and solutions to our customers by adhering to the following principles:,Offer critical services at competitive rates for a wide range of security disciplines, resulting in cost-effective and comprehensive programs tailored to our customersâ€™ needs.,Retain, recruit, and nurture the security industryâ€™s most respected subject matter experts and thought leaders through a work environment that embraces creativity and innovation,Foster communication and growth among our employees, partners, and customers to always enable first-rate solutions and service."
1354,PVH Corp.,To take our powerful global iconic lifestyle brands and maximize their brand potential and consumer reach while staying true to their unique brand DNA and core values.
1355,Quiksilver Inc.,Our mission is to become the leading global youth apparel company
1356,Re:Nu Hair and Beauty Salon,"To achieve profit through team members and client satisfaction.,To be number one in our area, hairdressing, training, our salon, prices and wages.,To be alert to changes in our situation and the market.To care about ourselves, our business and our community.,To be a happy, growing, profitable and high quality business achieving our personal targets.,To be a team of people aware of good values, appreciative of excellent results and constantly alert to the importance of consistency."
1357,Rebel Fitness Academy,"Rebel Fitness Academy exists purely to build, nurture, and care for your body, your temple. We wholeheartedly believe that caring for your body will reveal the life purpose which you were meant to fulfill. Injury free, high class precision training to regenerate, reclaim and re-define the physical and athletic abilities of every individual."
1358,Retouch Salon,"It is our goal to exceed your expectations. Come experience a family atmosphere where you come as guests and leave as friends. Our staff is highly trained with diversity in all aspects of Hair, Waxing, and Massage. We keep up on the latest trends in our industry by continually attending hair shows and education classes throughout the year. Come let us pamper you and provide you with quality services."
1359,Robert Gary Photography,"Our mission is to create timeless memories for your students, their families and your school or league. We will provide an efficient and enjoyable portrait experience that is completely hassle-free. Our goal is simple. Our job is not done until everyone is thrilled with both our products and services. We guarantee it!"
1360,Rocket City Styles,"To serve customers with integrity by being loyal to them, the company and ourselves. To give superior customer service consistently with happy relentless attitude while standing within affordable budget for families."
1361,Roller Braids Hair Salon,"Our mission at Roller Braids, is to deliver the best service and products, to improve our patrons physical exterior, while relaxing thier psychological interior, from the comfort of their home."
1362,Romaguera Photography,"The mission of Romaguera Photography is to create lasting memories with passion and enthusiasm, in a way that has never been captured and is also determined to handle each and every guest in a family like manner."
1363,Rona Aurora,Our mission is to create a unique shopping experience offering an unequalled variety of products at the lowest prices.
1364,Salon Safari and Spa,"As a unique, friendly and experienced Safari team, we take pride in our goal to give our customers a great deal more than hair and spa services. We continue to work hard at being the best for you by upgrading our skills and learning new industrious techniques to serve you better. With our knowledge and experience we go out of our way to take special care of our customersâ€™ needs. With high quality service and great hospitality for our customers, we do our best to ensure that you relax and enjoy your stay in our salon so much that you will want to share the experience with others!"
1365,Second Cup,Our mission is to continuously grow through innovation and dedication to excellence. Second Cup is committed to always deliver a premium cafÃ© experience.
1366,Seventh Generation,To inspire a consumer revolution that nurtures the health of the next seven generations.
1367,Shell Lumber and Hardware Inc.,Our mission is to provide you with the best quality products and outstanding service to make your projects come to life.
1368,Silvia Photography Studio,"All of Godâ€™s creation is beautiful and full of wonders, and it is our job and calling to recognize and capture that beauty in such a way that the viewing audience would also be captivated and drawn to the image. Indeed we want images to bring about positive emotions, and allow the viewer to relive past events, as well as imagine new ones. Our innate talent is also a gift, through which we would like to provide services and products that will last for generations. Our aim is to become an example of doing business with the highest level of integrity"
1369,Skin Essence A day spa,"Skin Essence A day spa invites you to come enjoy peace, tranquility and relaxation. Our goal is to provide you with the finest treatments available in a beautiful, zen environment and to help you develop a healthy lifestyle and well-being."
1370,Snap Fitness,"We are commited to providing a safe community oriented environment for people of all skill and fitness levels. Our gym caters to all individuals and their specific training and athletic needs through nationally certified personal trainers, a wide variety of fitness classes and well-maintained equipment."
1371,"ProsperForms â€” set up a form and start receiving submissions from your colleagues in minutes. 100+ forms available: reports, logs, requests, etc. or build your own. View and manage submissions on Timeline and Dashboard screens, generate PDF reports. Get Started","Soft Images Salon.,Soft Images professionals do all that we can to ensure that every client has a marvelous experience. We create a warm, caring environment both for our clients and for each other. We offer a full range of cutting edge salon services and products. We value our community and we will work to grow together. We hold ourselves accountable for exceeding our clients high expectations and recognize every client as our ultimate focus. We believe the actions of one, have the power to change the world."
1372,Spa Ble,"Our Mission at Spa Ble is to create a peaceful atmosphere by focusing on health and wellness through the use of environmentally friendly products and services. We believe in the interconnectedness of body, spirit, and earth. We strive to help nurture that connection. Spa Ble is for those of us who wish for peace in the world and opt to start within."
1373,Spratlin Building Supply,"Our mission is to serve customers with such a focus and desire that our service will make the home improvement and building process enjoyable, exciting, and most importantly successful for everyone. We are a valueâ€“driven business who believes in strong relationships, taking care of the customer, superior service, and lasting trust."
1374,St James Coffee,"Our mission is to provide a welcoming space for non-Catholics and non-practicing Catholics to come to know Christ and His Church, and to provide a forum for Catholics to find fellowship and catechesis."
1375,St. Anthonyâ€™s Bridal,Our mission is to help brides on tight budgets achieve beautiful and affordable weddings.
1376,"St. Moritz Security Services, Inc.",Security service is not the same for every customer
1377,Stage Stores Inc.,Our mission is to be Americaâ€™s leading small town and neighborhood retailer dedicated to delivering desirable brand name family apparel with exceptional value and service!
1378,Studio 2 Elegance,We believe the â€œEleganceâ€ experience will help all women see themselves in a new light. By highlighting and bringing out the outer beauty of each individual we hope to build confidence and strengthen relationships.
1379,Studio Locator,"To become The Wedding Photographer resource site on the Internet. If you are looking to book a photographer for a wedding, our service is designed to make the search as easy and user friendly as possible. You will be able to quickly and easily locate wedding photographers who provide the services you require at a price thatâ€™s acceptable to you."
1380,Studymode,"Our mission is to provide an ever-expanding suite of online learning tools to help students succeed. We do this by bringing our growing library of nearly 2 million student-submitted course notes, research papers, essays, term papers, and book reports to all your devices. We also provide AP notes to help you ace your exams, and book notes to help explain famous literary works. Not sure where to begin? Start by searching for a specific topic, or browse through our expansive list of categories."
1381,Summit Photography,"To create meaningful and stunning images, while projecting a pleasant, patient and understanding attitude so that each client always receives exceptional value for their investment, thus ensuring an impressive and rewarding photographic experience!"
1382,Sutro,"At Sutro Salon, exceeding the needs and wants of our guestsâ€™ expectations is paramount. We continually scour the globe to look for the best in new products and techniques. We design hair and makeup treatments suited to individual needs and provide convenient micro-spa services for busy men and women on the go. It is our aim to inspire beauty and confidence in a relaxing, comfortable environment. Looking good feels good. An unsurpassed experience means our guests should feel their absolute best when they walk out our door."
1383,T I Events Consulting & Design,Passion + Focus of Execution + Detail is our mission statement and promise to our clientele.
1384,Tease Hair Studio,"It is our mission at Tease Hair Studio to provide our clients with the highest degree of customer service in a professional and unique setting. We are committed to performing our craft exceptionally well and to continually striving to improve ourselves in the areas of education, both within the salon setting and in the external professional beauty community. We continually search the industry marketplace for the newest technology and the finest in hair care products, in order to provide our clients with the ultimate salon experience."
1385,The Blue Giraffe Day Spa Salon,"Our goal is to provide a world-class spa experience, for both our guests and employees"
1386,The Bridal Chateau,"When you try your own gown on for the first time, it should look better than the sample you chose from. I promise, at The Bridal Chateau, you will be happy with your purchase. We will not give you a wrinkled gown that has not been inspected properly."
1387,The Events Department,"We at The Events Department understand that the quality and our standards of service is the ultimate commitment to our clients. The Events Department is a team effort internally and with all our associates, assisting venders and our client base. Our goal is to be a strategic partner and to provide exceptional event management skills and service to assure desired outcomes We believe that our relationship with our customers is strengthened as we partner and share through the process of creating their dream event."
1388,"The Finish Line, Inc.","Our mission is to connect to young, fashion conscious individuals through a premium brand experience featuring the best selection of authentic, sport inspired products. We define this premium experience through our product, our presentation, and our people."
1389,"The Goodness Coffee House in Willmar, MN","At The Goodness Coffee House, our mission is to consistently provide quality food and beverages, using fresh ingredients from local and environmentally sustainable suppliers when possible, and to be a good neighbor to Downtown Willmar and the larger community."
1390,The Institute of Trichology,"Hair design is a true artform. The artist seeks the best materials to produce his masterpiece. Every member of Tri is committed to the belief that technology is only a gateway, innovation the fuel and beauty the ultimate reward. At Tri we share your passion for beauty and respect your desire for quality salon products."
1391,The Right Hair Salon,"As soon as you walk through the doors at The Right Hair Salon you will feel right at home. The front lounge offers a beverage bar of complimentary beverages for you to enjoy. Your experience at the The Right Hair Salon will be highlighted by award-winning hairstylists, glamorous surroundings and most of all, service that is completely focused on you."
1392,The Roasterie,Creating extraordinary coffee experiences.
1393,The Spa at West End,"The Spa at West End is dedicated to being a safe haven of tranquility, refocusing stress into positive energy by providing an experience that â€œmakes a differenceâ€ in our guestsâ€™ lives. Our team is committed to extensive training, which shows in our cheerful attitudes and quality of service we provide on a consistent daily basis. Most important is our firm belief that customer service and continuous improvement are paramount in achieving customer satisfaction and truly, the whole reason we exist."
1394,The Spa Fitness and Wellness Centers,"At The Spa Fitness & Wellness Center, we consider it our mission to enhance the quality of human life through physical fitness. To this end, we endeavor to provide facilities, programs, and instruction. We further strive to instill in those we serve an understanding of the values of physical fitness in their lives."
1395,Core Fitness Mission Statement,"Our coaches are part of a premiere personal training organization. It is our mission to represent you! We are passionate about service and excellence. We strive to enhance and improve the overall health and fitness of others through motivation, education and guidance. We dedicate ourselves to long term relationships as we commit to improve the quality of your life!"
1396,"The Wet Seal, Inc.","We use the power of fashion and fun to help our girl express her individuality and fit inâ€”while standing out. We always listen closely, keep it real, and offer our product at a great price."
1397,"TJ Hardware, Inc.","TJ Hardwareâ€™s mission is to give you the very best in service and in quality, the best pricing available, and top-notch service after the sale."
1398,TJX Cos.,"The primary mission of The TJX Foundation is to support programs that provide basic-need services to disadvantaged children, women and families in communities where we do business."
1399,TOMS Shoes,"Weâ€™re in the business to help improve lives. With every product you purchase, TOMS will help a person in need. One for one."
1400,Toys â€œRâ€ Us,To be the Worldâ€™s Greatest Kidsâ€™ Brand.
1401,TreeHouse Inc,Our mission is the same 365 days a year: making better homes.
1402,Trendy Events Services,The mission of Trendy Events Services is to provide the highest level of event planning services while maintaining extraordinary customer service.
1403,Tullyâ€™s Coffee,"We provide the worldâ€™s ultimate coffee shop experience with the highest-quality products, most inviting stores, friendliest staff and best value."
1404,Tutor Time Child Care/Learning Center,"We are an international leader in child education and family solutions, which impact and inspire lifelong learning."
